行番号	投稿時間	投稿者	メッセージ	スパチャ
130	00:13:09	mori mori	グランディア！是非とも３をオススメするよ（ゲス顔）	
131	00:13:16	J u d a S S	ロマサガいいね	
132	00:14:01	mori mori	ミンサガはテンポ悪いから配信向きじゃないと思う	
133	00:14:30	biggs	おいしい煮玉子	
134	00:14:44	にけい	グランディアは大姉ちゃん好きそうだけど長さはどうだったかな…	
135	00:14:55	カギカギ	サガフロ１はシナリオ個別だからおすすめ	
136	00:15:13	リフェ	グランディアは1と2のHDリマスターなんだね	
137	00:16:02	mori mori	大学生は英語読めるから何の問題も無いね	
138	00:16:20	J u d a S S	大姉ちゃんはガンパレプレイ済み？	
139	00:16:21	T.のかね	２？	
140	00:16:23	motiyomogi	おみず	
141	00:16:25	らうらう	ウオオオ！	
142	00:16:29	らうらう	おみず	
143	00:16:29	いぶきんぐ	アサクリもいいゲームだよね	
144	00:16:31	sas b	姉ちゃんステルスゲー経験あったっけ	
145	00:16:34	J u d a S S	おみず	
146	00:16:36	カーマイン	おみず	
147	00:16:49	motiyomogi	アーカイブあるはず	
148	00:17:03	いぶきんぐ	ガンパレ好きだけど配信ばえするかな…	
149	00:17:26	リフェ	ガンパレ懐かしいなぁ	
150	00:17:29	カーマイン	かわいい	
151	00:17:44	ジャック・オー	実機はソフトはまだ高いね	
152	00:18:14	【reb00t】リブート	こんばんは	
153	00:18:29	カギカギ	やるとしたら５？	
154	00:18:33	ZX bankara	こんばんは	
155	00:18:36	Ami Saika	スターオーシャンもリマスター出るんだっけ	
156	00:18:37	らうらう	アンケとってもらったら	
157	00:19:20	ZX bankara	アサクリがいいと思う	
158	00:19:36	mori mori	草	
159	00:19:39	リフェ	草	
160	00:19:40	カギカギ	エターナルスフィア作らなきゃ...	
161	00:19:42	biggs	いきなり山脈に行ってしぬんだ･･･	
162	00:19:51	ジャック・オー	草	
163	00:20:19	ZX bankara	個人的にコメントできるから	
164	00:20:21	biggs	なんか石化麻痺した上に死んでる･･･	
165	00:20:26	せせらぎ	なにそれ...	
166	00:20:43	J u d a S S	なにそれこわい	
167	00:20:47	motiyomogi	おみず	
168	00:21:00	カーマイン	こわい	
169	00:21:39	アカリミライ	こんばんは	
170	00:21:52	J u d a S S	対策すれば行けるなら楽しい	
171	00:22:07	biggs	そんな	
172	00:22:13	カギカギ	そんな...	
173	00:22:17	リフェ	そんな…	
174	00:22:28	motiyomogi	草	
175	00:22:31	せせらぎ	草	
176	00:22:33	いぶきんぐ	草	
177	00:23:04	J u d a S S	えぇ…	
178	00:23:17	らうらう	かわいい	
179	00:23:18	biggs	なってたね･･･	
180	00:23:21	motiyomogi	かわいい	
181	00:23:23	T.のかね	かわいい	
182	00:23:24	カーマイン	かわいい	
183	00:23:29	biggs	かわいい	
184	00:23:32	カギカギ	かわいい	
185	00:23:35	mori mori	はやい	
186	00:23:35	ジャック・オー	かわいい	
187	00:23:39	リフェ	かわいい	
188	00:23:42	J u d a S S	かわいい	
189	00:23:43	カーマイン	ｳﾜｧ	
190	00:23:52	らうらう	いかんのか？	
191	00:23:56	リフェ	草	
192	00:27:16	ジャック・オー	おみず	
193	00:27:21	カーマイン	おみず	
194	00:28:12	mori mori	声が怪しい	
195	00:29:35	J u d a S S	あらすじたすかる	
196	00:30:20	motiyomogi	おみず	
197	00:30:25	カーマイン	おみず	
198	00:30:26	らうらう	おみず	
199	00:30:27	J u d a S S	おみず	
200	00:30:36	mori mori	サギくんほぼ初期レベルだし返り討ちだったんじゃない	
201	00:33:05	助六	おいしい煮玉子	
202	00:33:42	J u d a S S	たのもしい	
203	00:33:42	mori mori	正ヒロインムーブが強すぎる	
204	00:33:45	T.のかね	いい…	
205	00:34:04	にけい	圧を強めてきた	
206	00:34:12	ジャック・オー	2人ともヒロイン力高い	
207	00:34:19	リフェ	仲いいなぁー	
208	00:36:02	biggs	うーむ	
