行番号	投稿時間	投稿者	メッセージ	スパチャ
137	00:35:15	なんたら	ラスダン	
138	00:35:18	motiyomogi	なるほどね	
139	00:35:29	JUNY	なるほど	
140	00:36:04	カーマイン	草	
141	00:36:09	竹輪	えぇ…	
142	00:36:12	なんたら	当たり判定なくなるわけじゃないんだ…	
143	00:36:43	JUNY	ラ・ラ・ランドの渋滞のやつみたいなのねｗ	
144	00:36:51	Ash戦場の歌姫	ラブライブモード熱いな	
145	00:37:59	竹輪	草	
146	00:38:06	T.のかね	草	
147	00:38:07	らうらう	草	
148	00:38:14	カーマイン	草	
149	00:38:42	竹輪	だんだんすごくなったよね	
150	00:41:23	Ash戦場の歌姫	沼津に似てる！	
151	00:41:48	らうらう	かわい	
152	00:41:51	竹輪	かわいい	
153	00:41:55	なんたら	すごい	
154	00:41:57	タケノコ男	かわいい	
155	00:42:09	竹輪	マジで言ったんだ…	
156	00:42:11	らうらう	ドヤ！	
157	00:42:15	タケノコ男	すごい	
158	00:42:22	eve	すごい	
159	00:42:26	カーマイン	すごい	
160	00:42:30	竹輪	すごい	
161	00:42:34	らうらう	かわいすぎる	
162	00:42:36	なんたら	ドヤれる	
163	00:42:37	カーマイン	かわいい	
164	00:42:47	motiyomogi	すごい	
165	00:43:03	らうらう	むちゃがすぎる	
166	00:43:10	なんたら	ドヤ顔して	
167	00:43:25	らうらう	草	
168	00:43:25	竹輪	草	
169	00:44:17	カーマイン	草	
170	00:45:09	らうらう	あー	
171	00:45:12	なんたら	あったね	
172	00:45:30	タケノコ男	ラブライブ細胞すごい	
173	00:45:32	竹輪	すごい	
174	00:45:34	ほるもん	じだいきてたね	
175	00:45:54	motiyomogi	時代の転換期か	
176	00:45:55	カーマイン	すごい	
177	00:46:01	らうらう	ドヤ案件だ	
178	00:47:04	らうらう	草	
179	00:47:05	竹輪	草	
180	00:47:05	カーマイン	ラブライブ細胞すごい	
181	00:47:10	motiyomogi	草	
182	00:47:11	タケノコ男	草	
183	00:47:12	aarar scsrt	草	
184	00:47:13	カーマイン	草	
185	00:47:15	T.のかね	草	
186	00:47:19	Ash戦場の歌姫	見てない人は見て	
187	00:47:26	らうらう	そんなこといわれても・・・	
188	00:47:27	なんたら	記憶消した	
189	00:47:47	カーマイン	いいよ	
190	00:48:34	Ash戦場の歌姫	あー	
191	00:49:00	竹輪	なるほど…	
192	00:49:13	カーマイン	なるほど	
193	00:49:28	なんたら	わかる	
194	00:49:49	mori mori	結構高かった	
195	00:50:49	ほるもん	30分でわかるはどうなの	
196	00:50:57	なんたら	なんかダイジェスト版なかったっけ	
197	00:51:00	竹輪	ファンの鏡…	
198	00:51:04	らうらう	かわいい	
199	00:51:10	カーマイン	かわいい	
200	00:51:15	タケノコ男	かわいい	
201	00:51:15	aarar scsrt	かわいい	
202	00:51:15	T.のかね	かわいい	
203	00:51:15	mori mori	かわいい	
204	00:51:15	竹輪	かわいい	
205	00:51:17	ジャック・オー	かわいい	
206	00:51:26	aarar scsrt	いいおてて	
207	00:51:31	motiyomogi	すごい	
208	00:51:32	らうらう	通販みたい	
209	00:51:33	竹輪	すごい！！	
210	00:52:24	らうらう	だめ！！！！	
211	00:52:29	ジャック・オー	愚の骨頂ね	
