行番号	投稿時間	投稿者	メッセージ	スパチャ
121	00:03:08	ジュンペイ	オッケー！	
122	00:03:08	御早和杯	ｷﾀ━━━━(ﾟ∀ﾟ)━━━━!!	
123	00:03:09	弐号。あくじき	出たー	
124	00:03:13	まておりっち	ゲームの音はいりました	
125	00:03:16	味付けタマゴ	おｋ	
126	00:03:20	ワイン妖精	お、聞こえた	
127	00:03:27	くーねる	👍	
128	00:03:28	真新八	おいしい煮玉子	
129	00:03:30	味付けタマゴ	名曲	
130	00:03:33	らうらう	おみず	
131	00:03:39	まておりっち	ＯＰ曲がいいんですよね	
132	00:03:47	Cランサー	エンブレムオールA出来なかったなあ	
133	00:03:53	弐号。あくじき	ああああ神げーやりたくなってくる	
134	00:04:04	ユーザ	すごいやりこんだなぁ	
135	00:04:14	味付けタマゴ	キューブでやってた	
136	00:04:17	Cランサー	ソニックゲーはいまだにこれが１番だなあ	
137	00:04:38	くーねる	ほほーう	
138	00:04:39	ユーザ	2バトルの方やってた	
139	00:04:42	Cランサー	Crush40のLive＆Learnが最高すぎるだよねえ	
140	00:04:52	らうらう	12時間？もつ？？	
141	00:04:58	ホワイトラン衛兵	お安い	
142	00:05:00	弐号。あくじき	安い買わなきゃ	
143	00:05:10	白雪	細かい仕様が違うから長く楽しめそう	
144	00:05:33	いぶきんぐ	そういうのあるよね	
145	00:05:35	くーねる	たのしんで	
146	00:05:38	Cランサー	対戦モードはエミーが強すぎてなあ	
147	00:05:40	ユーザ	チャオ育成やりだしたら12時間で終わらない	
148	00:05:41	aa aa	ソニックゥがんばえー	
149	00:05:50	弐号。あくじき	余裕でもつね、うまければちょうどいいかも	
150	00:05:55	コンコン	おいしい煮玉子〜、ffクリアしたの？	
151	00:06:00	カプロラクタム	うーん、名作	
152	00:06:13	らうらう	ストーリークリアするだけなら時間余りそうだけど	
153	00:06:39	白雪	ストーリーは五時間掛からないくらいかな経験者だし	
154	00:06:47	らうらう	なるほどね	
155	00:06:56	Cランサー	ソニックの第１ステージとボス戦だけ見たら寝ようかな	
156	00:07:02	T.のかね	へー	
157	00:07:05	なんたら	全クリ的な？	
158	00:07:15	天然ステルス	ヒーローサイドとダークサイドとラストエピソード	
159	00:07:30	Cランサー	ルージュだね	
160	00:07:34	なんたら	なんか名前忘れたやつ	
161	00:07:42	白雪	テイルす	
162	00:07:43	バルカン	チャオ育成やったなぁ	
163	00:07:54	弐号。あくじき	エッグマン使えるの珍しいからすき	
164	00:08:05	白雪	んなっ！	
165	00:08:15	匿名係長只野兎	シティエスケープのBGMめっちゃ好き	
166	00:08:33	のねずみ20日	飛び降りた	
167	00:08:34	Cランサー	出だしから最高すぎるステージきたあああああ	
168	00:08:35	らうらう	眠くならなさそう	
169	00:08:46	弐号。あくじき	初手神	
170	00:08:46	まておりっち	ＢＧＭいいですよね～	
171	00:08:47	白雪	んなああああ	
172	00:08:53	aa aa	一瞬でも寝たら終わる	
173	00:09:00	なんたら	あーこれか！	
174	00:09:00	T.のかね	かっこいい	
175	00:09:05	カプロラクタム	元祖ソニックらしさを残しつつも古臭くないこの感じよ	
176	00:09:08	Cランサー	親の顔よりプレイしたステージ	
177	00:09:09	ホワイトラン衛兵	たのしそう	
178	00:09:21	ガガ	トラックに追いかけられそう	
179	00:09:29	eve	スピード感がすごい	
180	00:09:34	にけい	あれさっき似たようなゲームやってなかった？	
181	00:09:34	天然ステルス	スピードアップ（ブースト）はもっと後のやつ	
182	00:09:35	お覇王ランド	BGMいいなぁ	
183	00:09:40	センギ	BGM良すぎる	
184	00:09:59	Cランサー	まあ上手くなるには慣れてからだな	
185	00:10:54	らうらう	草	
186	00:10:56	味付けタマゴ	はい	
187	00:10:57	センギ	えぇ…	
188	00:10:57	いぶきんぐ	草	
189	00:10:57	なんたら	あらら	
190	00:10:58	白雪	ジャンプは長押ししよう	
191	00:10:59	くーねる	草	
192	00:11:02	ホワイトラン衛兵	草	
193	00:11:59	Cランサー	慣れるまでジャンプ台タイミング難しいのよね	
194	00:12:09	弐号。あくじき	ジャンプ台に乗る前にジャンプ押してるぽいね	
195	00:12:14	らうらう	人んちで全クリしたの？	
196	00:12:17	ホワイトラン衛兵	はやい	
197	00:12:24	弐号。あくじき	がんばれー	
198	00:12:31	なんたら	楽しい	
199	00:12:42	じょんどぅ	来たらescape from the cityしてる！	
200	00:12:46	らうらう	かわいい	
201	00:12:48	土田ロール	シティエスケープだ！	
202	00:12:51	biggs	すごい	
203	00:13:11	なんたら	爽快感重視のまちづくり	
204	00:13:17	くーねる	バリアフリー最悪！	
205	00:13:21	T.のかね	わかる	
206	00:13:42	Cランサー	2Pバトルかな？	
207	00:13:46	白雪	きっちり集められるルート走るのも楽しいよ	
208	00:13:52	ポンコツジョン	おいしい煮玉子	
209	00:13:57	いぶきんぐ	🆒	
210	00:14:01	ホワイトラン衛兵	あっ	
211	00:14:01	らうらう	草	
212	00:14:13	biggs	あっ	
213	00:14:15	天然ステルス	woah	
214	00:14:33	らうらう	夕方までもちそう	
215	00:14:36	味付けタマゴ	はい	
216	00:14:38	クロム	草	
217	00:14:41	なんたら	残基1	
218	00:14:49	ホワイトラン衛兵	姉ちゃんの本気	
219	00:14:51	カプロラクタム	慣れるまでが大変ですね…	
220	00:14:54	真新八	ｱｯﾊｲ	
221	00:15:12	Cランサー	ホーミングアタックのタイミングもうちょい遅くてもいいのよ	
222	00:15:21	ガガ	操作性いいよね	
223	00:15:29	弐号。あくじき	下手でも頑張る姉ちゃんだから楽しい、ホーミングがんばれ	
224	00:15:31	Cランサー	グラインドがかっこいいのよねえ	
225	00:15:35	じょんどぅ	止まりたくなくなる	
226	00:15:52	白雪	ジャングルの壁走り成功しないんだこれが	
227	00:15:53	真新八	止まるんじゃねぇぞ…	
228	00:15:57	Cランサー	GUNの本気	
229	00:16:05	Ami Saika	ペプシマン感あるな	
230	00:16:09	カプロラクタム	ここペプシマン	
231	00:16:09	biggs	ペプシマン	
232	00:16:21	弐号。あくじき	よくあるやつだ！	
233	00:16:21	Cランサー	ソニックジェネレーションではこれがさらにパワーアップしているという	
234	00:16:27	じょんどぅ	このトラックさん次回作でお空も飛べる	
235	00:16:30	らうらう	やったぜ	
236	00:16:33	ホワイトラン衛兵	やったね	
237	00:16:34	なんたら	やったね！	
238	00:16:35	天然ステルス	ちなみにペプシマンの方が先だったはず	
239	00:16:37	いぶきんぐ	やったぜ	
240	00:16:40	味付けタマゴ	やったぜ。	
241	00:16:43	biggs	やったね	
242	00:16:45	T.のかね	やったね	
243	00:16:49	らうらう	草	
244	00:16:49	sumari	ﾅﾝﾏｲﾃﾞｪｲ	
245	00:16:51	真新八	やったね	
246	00:17:05	白雪	上等だぜ！	
247	00:17:17	Ami Saika	ペプシマンPS1だしなｗ	
248	00:17:20	biggs	せーがー	
249	00:17:21	弐号。あくじき	カオスさん…	
250	00:17:25	なんたら	操作が単純だからね	
251	00:17:26	Cランサー	ジェネレーションじゃなくてジェネレーションズだったわ 訂正	
252	00:17:59	らうらう	がんばえー	
253	00:18:01	白雪	ジャンプしてコックピット踏もう	
254	00:18:09	なんたら	姉ちゃんが酔わないなんて	
255	00:18:11	ユーザ	バウンドジャンプで倒す回数の方が多い敵	
256	00:18:29	じょんどぅ	エッグマンも大抵むき出しの本体にぶつかる	
257	00:18:37	白雪	コックピットは上から踏むものだよ	
258	00:18:41	カプロラクタム	これ地味にメタルギアっぽいフォルムしてる	
259	00:18:43	biggs	がんばえー	
260	00:18:47	弐号。あくじき	コクピットをホーミングかジャンプの回転で上から	
261	00:18:49	Cランサー	コックピットだね ジャンプの最高到達点からアタックやったらいいかも	
262	00:19:22	らうらう	ソニアド2は60fpsでぬるぬるだから酔いにくい可能性がある	
263	00:19:39	白雪	ノォー	
264	00:19:43	味付けタマゴ	Oh...	
265	00:19:43	SARAMI	これ一回やられてヒント見ないと分からない人は分からないよね	
266	00:20:00	じょんどぅ	ホーミングアタックは無理に使わんでもいい	
267	00:20:16	味付けタマゴ	はい	
268	00:20:30	いぶきんぐ	敵と味方にカメラが常に追従してるのも酔い難さに影響してるかも	
269	00:20:37	白雪	違うよストーリーはストーリーから	
270	00:20:45	天然ステルス	ステージセレクトは別ミッションが遊べる	
271	00:20:48	Cランサー	それストーリーちゃうｗ	
272	00:20:52	ユーザ	これはエンブレム集めのモード	
273	00:20:58	弐号。あくじき	ジャンプの回転だけでも攻撃になるね	
274	00:21:17	天然ステルス	リセットしなくてもメニューから戻れたよ	
275	00:21:21	いぶきんぐ	草	
276	00:21:27	白雪	つかれたでしょう	
277	00:21:32	にけい	ソフト内リセットあるでしょたぶん	
278	00:21:36	らうらう	完全初見では？	
279	00:21:50	なんたら	ありがとう	
280	00:21:53	らうらう	やさしい	
281	00:21:55	にけい	やさしい	
282	00:21:59	SARAMI	ストーリーのあらすじ部分すき	
283	00:22:02	カプロラクタム	がんばって❤️	
284	00:22:04	弐号。あくじき	ちょうど切らしてた	
285	00:22:23	白雪	飛ばすの！？	
286	00:22:23	T.のかね	草	
287	00:22:28	ホワイトラン衛兵	草	
288	00:22:31	SARAMI	草	
289	00:22:34	らうらう	知らなかった	
290	00:22:36	なんたら	草	
291	00:22:41	ユーザ	なんか指名手配されたから逃げるよ！位のあらすじ	
292	00:22:50	T.のかね	ソニック！	
293	00:23:18	ユーザ	小ジャンプになってるから長押しすればいけそう	
294	00:23:23	味付けタマゴ	当時はブラウン管だったしね	
295	00:23:30	天然ステルス	一番弱いボスだよ！	
296	00:23:41	いぶきんぐ	うまい	
297	00:23:47	らうらう	つよつよ姉ちゃん	
298	00:24:03	白雪	あのあらすじはステージごとに毎回違ってキャラがめっちゃ立ってて聞いてるだけで楽しいやつだから残機なくなる楽しみにできるよ	
299	00:24:06	じょんどぅ	長押しジャンプは便利だから今後もぜひ使ってほしい…	
300	00:24:07	ホワイトラン衛兵	姉ちゃんの本気すごい	
301	00:24:11	弐号。あくじき	スピンダッシュもあとあと覚えてがんばろ	
302	00:24:21	味付けタマゴ	ヤツはボスの中でも最弱...	
303	00:24:21	Cランサー	操作さえわかればこっちのもんよ	
304	00:24:52	ホワイトラン衛兵	やったね	
305	00:24:53	いぶきんぐ	うまい	
306	00:24:53	らうらう	やったね！	
307	00:24:53	なんたら	やったね！	
308	00:25:09	白雪	カオス……ちゅっちゅか	
309	00:25:11	Cランサー	アメリカでの人気がソニック以上らしいシャドウ	
310	00:25:13	biggs	つよい	
311	00:25:16	味付けタマゴ	やったでおい！	
312	00:25:37	まておりっち	シャドウかっこいいですよね	
313	00:25:37	白雪	ちゅっちゅコントロール！	
314	00:25:48	じょんどぅ	シャドウ主人公のゲームは海外だけでしかリリースしてくれてない…	
315	00:25:59	弐号。あくじき	シャドウの中二感すこ	
316	00:25:59	らうらう	ちゅっちゅが変身するやつ	
317	00:26:01	Cランサー	後々のシリーズでめっちゃ使うカオスコントロール	
318	00:26:09	ユーザ	食い気味のセリフ	
319	00:26:32	弐号。あくじき	一応最初のPS3のは日本でも出てたね(シャドウ主人公	
320	00:26:32	天然ステルス	GAIJINに玩具にされてるハリモグラ	
321	00:26:49	カーマイン	おはよう煮玉子 随分ポップなFF7だね	
322	00:26:55	まておりっち	エッグマン！！	
323	00:26:56	白雪	んなぁー	
324	00:26:57	味付けタマゴ	ゾイ	
325	00:26:57	ワルダイエル扁桃林	うぉぉ神ゲーやってる！！	
326	00:27:15	天然ステルス	oh no	
327	00:27:26	じょんどぅ	毎回割れるマスターエメラルドさん…	
328	00:27:27	味付けタマゴ	いつもの	
329	00:27:29	なんたら	食い気味	
330	00:27:33	白雪	ここで豆知識 ルージュは揺れる	
331	00:27:44	らうらう	えちえちるーじゅ	
332	00:27:48	aa aa	えろい	
333	00:28:01	弐号。あくじき	ここもすこ	
334	00:28:03	味付けタマゴ	掘るぜ	
335	00:28:10	Cランサー	よし、寝ます 姉ちゃんがんばえーおやすみー	
336	00:28:26	ユーザ	楽しいんだけどステージによっちゃすごいキツイ	
337	00:28:34	カーマイン	眠気は大丈夫？	
338	00:28:42	味付けタマゴ	これすき	
339	00:28:59	SARAMI	マップ広くなってくると大変	
340	00:29:03	ユーザ	ピラミッド苦手だった	
341	00:29:13	SAKETOBA	bgmくっそオシャレ	
342	00:29:19	カプロラクタム	あ～気持ちいい	
343	00:29:41	tanya	小さい頃にドリキャスでやった記憶ある！なつかしい…	
344	00:30:11	じょんどぅ	基本飛び回ってレーダー反応したら探してたなあ	
345	00:30:24	やるてつ	これを超えるソニック作品が出ない	
346	00:30:30	白雪	ポーズするとヒント見直せるよ	
347	00:30:43	白雪	ヒントは三個	
348	00:32:19	白雪	エメラルドのピコンピコンはひとつにしか反応しないからチラ見で無反応エメラルドを見つけられると嬉しい	
349	00:32:28	天然ステルス	レーダーの反応が高い所を探す	
350	00:32:57	カーマイン	こんなにオシャレな音楽だったんだ	
351	00:33:02	弐号。あくじき	ナックルズとルージュが歯ごたえあって楽しい、場所ランダムだっけ	
352	00:33:10	なんたら	通路ってどれだ	
353	00:33:12	いぶきんぐ	レーダーの反応から積極的に離れる	
354	00:33:24	じょんどぅ	初回のみ固定かな？	
355	00:33:37	弐号。あくじき	初回固定かありがと	
356	00:33:55	白雪	ど～～しても見つからない時は死ぬと再配置されるから詰まったらアリ……かも？	
357	00:34:21	じょんどぅ	この感じ懐かしい…広いマップだと少しおつらい	
358	00:34:42	ホワイトラン衛兵	やったね	
359	00:34:45	T.のかね	やったね	
360	00:34:45	弐号。あくじき	狭い通路なるほど	
361	00:34:53	なんたら	狭いところだっけ	
362	00:35:36	白雪	またヒント見られるよ エメラルドひとつにつきヒント三個	
363	00:35:39	Ami Saika	下かな	
364	00:36:05	じょんどぅ	今すごい近かったね	
365	00:36:13	いぶきんぐ	今上がるとき赤まで反応したから	
366	00:36:16	弐号。あくじき	タイムアタック何度もやったなあ	
367	00:36:19	やるてつ	吹上の下あたり	
368	00:36:24	カプロラクタム	さっき下で反応してましたよ	
369	00:36:36	Ami Saika	風の根元かな	
