行番号	投稿時間	投稿者	メッセージ	スパチャ
129	00:02:00	毒入りトマト	美味しい煮玉子、普通に面白いですよこのゲーム	
130	00:02:03	ジョナサン・グレーン	ゴキゲンなBGM	
131	00:02:07	さらら。	オシャンティー	
132	00:02:09	うぇいのる	間接柔らかい	
133	00:02:09	aarar scsrt	やわらか姉ちゃん	
134	00:02:10	りあすて	ミッドガル・・・これがFF7ですか？	
135	00:02:11	カーマイン	ゴキゲンなBGMだ	
136	00:02:21	いぶきんぐ	やわらか姉ちゃん	
137	00:02:28	mori mori	青そう	
138	00:02:33	motiyomogi	かわいい	
139	00:02:37	JUNY	いただいた参考画像	
140	00:02:38	タケノコ男	えち	
141	00:02:40	リフェ	おー	
142	00:02:46	こみこ	大事	
143	00:02:49	ジョンソン	なにはともあれ	
144	00:02:49	にけい	なるほど美麗	
145	00:02:54	さらら。	赤ずきんっぽいの男の娘やぞ	
146	00:03:04	JUNY	アニメシーンから	
147	00:03:04	りあすて	左のユニークな帽子かぶった子がかわいいと思う	
148	00:03:07	こみこ	止まるんじゃねぇぞ…	
149	00:03:13	めるカバ	止まるんじゃ…	
150	00:03:15	うぇいのる	すごい	
151	00:03:17	ニャンコ先生	止まるじゃねえぞ？	
152	00:03:18	mori mori	アニメの入るゲーム多いなあ	
153	00:03:23	mk 95	キャラ絵も動くんだ	
154	00:03:24	ナウ	冬だからかな	
155	00:03:27	Ami Saika	雪山だからでは	
156	00:03:30	カーマイン	live2d？	
157	00:03:33	T.のかね	クェーッ！	
158	00:03:35	JUNY	キョロちゃん	
159	00:03:36	パンセポンセ	草	
160	00:03:39	D W	クェっ！クェっ！クェーっ	
161	00:03:39	りあすて	サメかな？	
162	00:03:49	ニャンコ先生	空飛ぶ鮫？	
163	00:03:51	mori mori	これが導入なの草	
164	00:04:00	ジョンソン	バスケやん	
165	00:04:19	カーマイン	急に超デフォルメキャラ	
166	00:04:21	JUNY	自分も感電しとる	
167	00:04:23	いぶきんぐ	おや	
168	00:04:24	スモーク	草	
169	00:04:26	ナウ	キュアピース	
170	00:04:29	motiyomogi	草	
171	00:04:31	mk 95	クリッカー系のゲームなのかな	
172	00:04:34	ジョンソン	草	
173	00:04:34	リフェ	草	
174	00:04:35	じょーげん	草	
175	00:04:35	クロムア	どこかわからない	
176	00:04:36	パンセポンセ	キュアピースはかわいい	
177	00:04:36	らうらう	草	
178	00:05:01	じょーげん	我はラスボス…	
179	00:05:02	こみこ	なろう系スマホゲーム？	
180	00:05:06	T.のかね	草	
181	00:05:12	クロムア	草	
182	00:05:14	mori mori	中々攻めてる選択肢しかない	
183	00:05:24	スモーク	ニューロンに悪い主人公だな	
184	00:05:27	じょーげん	急にダーク主人公だ	
185	00:05:29	motiyomogi	何もわからない…	
186	00:05:30	タケノコ男	何もわからない	
187	00:05:30	りあすて	２Pカラー	
188	00:05:32	JUNY	主人公オルタ	
189	00:05:33	ジョンソン	双子か！？	
190	00:05:38	リフェ	そっくりさん！	
191	00:05:41	カーマイン	ルパンかな	
192	00:05:44	ニャンコ先生	殺意高い	
193	00:05:47	こみこ	草	
194	00:05:48	T.のかね	草	
195	00:05:50	リフェ	たしかに	
196	00:05:53	mk 95	ほんとだ	
197	00:05:53	ナウ	伏線だったのか	
198	00:05:54	にけい	貴様は！ぼんやりした情報で余計困惑させてくるやつ！	
199	00:05:59	ジャック・オー	　　	
200	00:06:01	さらら。	エッ	
201	00:06:02	スモーク	姉ちゃん悪堕ちしてたのか…	
202	00:06:12	mk 95	剣をブチ込むとか…	
203	00:06:25	カーマイン	黒姉ちゃんと白姉ちゃんは性格違うの？	
204	00:06:25	biggs	おいしい煮玉子	
205	00:06:36	mori mori	ダメージレースで確実に負けてる	
206	00:06:37	T.のかね	かっこいい	
207	00:06:45	さらら。	負けイベ	
208	00:06:46	ニャンコ先生	ネク君？	
209	00:06:47	こみこ	急に動くよ	
210	00:06:51	JUNY	高速で後ろに走りながら戦う敵	
211	00:06:53	クロムア	大分吹っ飛ぶ	
212	00:07:08	J u d a S S	こんばん煮玉子ー	
213	00:07:14	ナウ	アーチャーかな？	
214	00:07:18	T.のかね	アーチャーかな？	
215	00:07:36	mori mori	いきなり名言を捻じ込むと思ったら即ツッコミ入って草	
216	00:07:49	カーマイン	かわいい	
217	00:07:49	JUNY	かわいい	
218	00:07:50	タケノコ男	かわいい	
219	00:07:51	motiyomogi	かわいい	
220	00:07:52	aarar scsrt	かわいい	
221	00:07:52	スモーク	かわいい	
222	00:07:53	ジャック・オー	かわいい	
223	00:07:53	桜田紅	かわいい	
224	00:07:54	クロムア	かわいい	
225	00:07:55	ジョンソン	よしつねかな？	
226	00:07:55	めるカバ	かわいい	
227	00:07:56	biggs	かわいい	
228	00:07:56	にけい	↑	
229	00:07:59	mk 95	かわいい	
230	00:08:00	じょーげん	かわいい	
231	00:08:03	motiyomogi	元気いっぱいのJCかな？	
232	00:08:06	リフェ	かわいい	
233	00:08:07	T.のかね	かわいい	
234	00:08:22	D W	荒すぎる	
235	00:08:23	JUNY	回収された	
236	00:08:27	カーマイン	草	
237	00:08:28	タケノコ男	草	
238	00:08:29	motiyomogi	草	
239	00:08:30	こみこ	草	
240	00:08:30	ジョンソン	草	
241	00:08:30	リフェ	草	
242	00:08:31	スモーク	草	
243	00:08:32	ナウ	めっちゃ殴られるやん	
244	00:08:33	T.のかね	ンガ	
245	00:08:43	mori mori	スキルは？	
246	00:08:44	いぶきんぐ	うかつ！	
247	00:08:52	biggs	草	
248	00:09:00	うぇいのる	ぐえー	
249	00:09:03	りあすて	ぜんめつ	
250	00:09:03	じょーげん	草	
251	00:09:04	mori mori	草	
252	00:09:11	こみこ	えぇ・・・	
253	00:09:14	biggs	えぇ…	
254	00:09:16	じょーげん	せやで	
255	00:09:27	aarar scsrt	後ろ走りしてる敵に負けた	
256	00:09:30	パンセポンセ	チョキのキャラに変えて！	
257	00:09:39	リフェ	ぬるぬる動くなぁ	
258	00:09:52	mk 95	属性ジャンケンなんだ	
259	00:10:13	mori mori	やったね	
260	00:10:14	biggs	やったね	
261	00:10:15	うぇいのる	やったね	
262	00:10:19	めるカバ	つまりムシキング	
263	00:10:19	ジョナサン・グレーン	やったね	
264	00:10:21	りあすて	メトロン星人了解	
265	00:10:21	T.のかね	やったね	
266	00:10:22	ジョンソン	やったね	
267	00:10:37	ジョナサン・グレーン	ワーオ！メトロン！	
268	00:10:43	にけい	未来のオレ！どうかしてる！	
269	00:10:52	ナウ	逃すな	
270	00:10:59	ニャンコ先生	未来で美白するんぬ？	
271	00:11:02	ジョナサン・グレーン	草	
272	00:11:03	タケノコ男	雪原であの格好は寒そう	
273	00:11:03	JUNY	将来中二セリフ言っちゃうようになるのか	
274	00:11:14	スモーク	youtube調子悪いな…	
275	00:11:15	さらら。	突然の死	
276	00:11:59	りあすて	時間制限のあるマニュアル	
277	00:12:00	T.のかね	チキン…	
278	00:12:03	こみこ	ポエムコア	
279	00:12:07	mori mori	おいしそう	
280	00:12:12	さらら。	ﾁｷｨﾝ…	
281	00:12:12	JUNY	ねっとりとしたチキン食べたい	
282	00:12:18	motiyomogi	ﾃｨｷﾝ ﾀﾍﾞﾀｧｲ	
283	00:12:23	T.のかね	ランターンかな	
284	00:12:44	らうらう	ptptなる	
285	00:12:50	PatriciaHendraDreamChannel慎之介水月ドリームチャンネル	こんばみず,クゥ	
286	00:13:13	さらら。	全員Vtuberだった…？	
287	00:13:26	タケノコ男	かわいい	
288	00:13:27	ジャック・オー	メトロン星人を狩るの？	
289	00:13:29	T.のかね	かわいい	
290	00:13:33	JUNY	ちひろポジかな？	
291	00:13:34	パンセポンセ	かわいい	
292	00:13:34	D W	なんか超調子悪い	
293	00:13:39	こみこ	ガチ恋	
294	00:13:39	motiyomogi	かわいい	
295	00:13:40	ジョンソン	かわいい	
296	00:13:40	カーマイン	かわいい	
297	00:13:40	らうらう	かわいい！	
298	00:13:40	八木谷	かわいい	
299	00:13:42	カギカギ	かわいい	
300	00:13:43	スモーク	かわいい	
301	00:13:44	mk 95	かわいい	
302	00:13:44	リフェ	かわいい	
303	00:13:47	ジャック・オー	かわいい	
304	00:13:51	りあすて	ガチ恋かな？	
305	00:13:55	さらら。	かわいい	
306	00:14:03	らうらう	サーバーガチャ	
307	00:14:13	motiyomogi	おかえり	
308	00:14:15	じょーげん	おいしい煮玉子	
309	00:14:18	りあすて	祈ろう	
310	00:14:26	JUNY	恒星よ…	
311	00:14:30	カーマイン	おせきはまだ治ってない？	
312	00:14:37	こみこ	お兄様かな？	
313	00:14:43	ナウ	天才じゃったか	
314	00:14:49	ヘンリーダーガー	すごい	
315	00:14:50	D W	めっちゃほめるやん	
316	00:14:52	タケノコ男	草	
317	00:14:53	パンセポンセ	…	
318	00:14:55	リフェ	草	
319	00:14:57	ジョンソン	草	
320	00:14:58	りあすて	クソツイの才能は？	
321	00:15:08	T.のかね	便利～	
322	00:15:13	JUNY	いっぱいおる	
323	00:15:19	リフェ	ホーム画面？	
324	00:15:21	じょーげん	アバター？	
325	00:15:22	こみこ	クローンいるじゃん	
326	00:15:23	りあすて	ロビー？	
327	00:15:25	らうらう	？	
328	00:15:30	ジャック・オー	ホーム？	
329	00:15:36	mori mori	ぜんぜんわからん	
330	00:15:38	ジョンソン	そっくりさん多くない？	
331	00:15:40	めるカバ	ええ…	
332	00:15:43	りあすて	一面に広がる初期アバ	
333	00:16:05	いぶきんぐ	羽ばたき飛行機械	
334	00:16:12	タケノコ男	姉ちゃんが寝てる	
335	00:16:25	パンセポンセ	あ	
336	00:16:28	T.のかね	あれ	
337	00:16:28	じょーげん	おわー	
338	00:16:31	ジョンソン	かわいい	
339	00:16:33	mori mori	あたい	
340	00:16:36	JUNY	かわいい	
341	00:16:39	mk 95	好きな声だ	
342	00:16:41	りあすて	かわいい	
343	00:16:42	motiyomogi	かわいい	
344	00:16:43	ねこくーる	かわいい	
345	00:16:45	カギカギ	かわいい	
346	00:16:46	ジャック・オー	かわえ	
347	00:16:49	こみこ	かわいい	
348	00:16:50	タケノコ男	かわいい	
349	00:16:50	パンセポンセ	かわいい	
350	00:16:53	カーマイン	姉ちゃんに血の繋がった妹が？	
351	00:16:58	じょーげん	かわいい	
352	00:17:01	D W	かわいい	
353	00:17:03	りあすて	青い鳥？	
354	00:17:04	ジョナサン・グレーン	かわいい	
355	00:17:05	いぶきんぐ	かわいい	
356	00:17:14	じょーげん	草	
357	00:17:14	JUNY	囚人番号かな？	
358	00:17:15	スモーク	草	
359	00:17:15	さらら。	草	
360	00:17:15	タケノコ男	草	
361	00:17:16	リフェ	草	
362	00:17:17	ジョンソン	草	
363	00:17:17	こみこ	製造番号かよ	
364	00:17:18	カーマイン	草	
365	00:17:18	ジャック・オー	草	
366	00:17:18	クロムア	草	
367	00:17:18	りあすて	それはそれでアリ	
368	00:17:21	sio3go	草	
369	00:17:23	D W	製造番号かな？	
