行番号	投稿時間	投稿者	メッセージ	スパチャ
133	00:02:10	ホワイトラン衛兵	いいかんじ	
134	00:02:11	おさかな	かわいい	
135	00:02:11	究極ド根性ダイコン	かわいい	
136	00:02:11	近藤亮	かわいい	
137	00:02:16	りあすて	姉ちゃんいま念で喋ってる？	
138	00:02:16	ねぎ男	かわいい	
139	00:02:19	うぇいのる	かわいい	
140	00:02:20	JUNY	お水ごくごく音期待	
141	00:02:21	ジョナサン・グレーン	かわいい	
142	00:02:38	タケノコ男	口動いてないね	
143	00:02:39	JUNY	テレパシーかな？	
144	00:02:40	りあすて	かわいい	
145	00:02:41	カーマイン	かわいい	
146	00:02:44	biggs	かわいい	
147	00:02:44	スモーク	かわいい	
148	00:02:45	竹輪	かわいい	
149	00:02:46	ホワイトラン衛兵	かわいい	
150	00:02:48	リフェ	かわいい	
151	00:02:51	えび	かわいい	
152	00:02:57	じょーげん	かわいい	
153	00:02:58	motiyomogi	かわいい	
154	00:03:00	カーマイン	かわいい	
155	00:03:00	いぶきんぐ	かわいい	
156	00:03:00	らうらう	ワシ！？	
157	00:03:02	ジャック・オー	かわいい	
158	00:03:02	タケノコ男	かわいい	
159	00:03:02	JUNY	わっし	
160	00:03:02	岸辺一徳	かわいい	
161	00:03:03	カギアカギ	かわいい	
162	00:03:03	eve	かわいい	
163	00:03:03	クロム	わし！	
164	00:03:03	ねぎ男	かわいい	
165	00:03:04	ジョナサン・グレーン	かわいい	
166	00:03:04	はまちハウマッチ	わし！	
167	00:03:05	biggs	かわいい	
168	00:03:05	東京コノハムシ	あいうえお	
169	00:03:16	えび	🦅	
170	00:03:17	らうらう	はーい	
171	00:03:21	リフェ	MOBAはやったことないなぁ	
172	00:03:22	にけい	だと思う	
173	00:03:23	竹輪	知らないジャンルだ	
174	00:03:24	カーマイン	いっしょにまなぶー	
175	00:03:24	ふーばー	面白そう	
176	00:03:33	りあすて	スーパーヒーロー着地	
177	00:03:39	biggs	どんなジャンルでもKBTだ･･･	
178	00:03:39	はまちハウマッチ	姉と学ぶMOBA	
179	00:03:41	らうらう	クゥ	
180	00:03:57	厳かな守護者P	MOBAやったことないけど見るのは好き	
181	00:04:00	結城晶	昔LOVAやってたなぁ…	
182	00:04:06	東京コノハムシ	陣内みたい	
183	00:04:10	竹輪	つよい	
184	00:04:14	じょーげん	これがモバゲーですか	
185	00:04:21	にけい	丁寧な解説！	
186	00:04:24	ジョナサン・グレーン	つよい	
187	00:04:46	究極ド根性ダイコン	ブラボかな？	
188	00:04:47	らうらう	つよそう	
189	00:04:54	らうらう	かわいい	
190	00:04:57	スモーク	かわいい	
191	00:04:58	カギアカギ	かわいい	
