行番号	投稿時間	投稿者	メッセージ	スパチャ
129	00:03:10	ミワタリ	おてて	
130	00:03:14	aarar scsrt	いいよ	
131	00:03:15	ジャック・オー	おてて	
132	00:03:16	ジョナサン・グレーン	おてて	
133	00:03:17	Ryo Kamiya	おてて	
134	00:03:21	竹輪	かわいい	
135	00:03:28	バーチャルYouTuberガニメデちゃんねる	おてて	
136	00:03:43	ジョナサン・グレーン	コクリコがいないんですけど！	
137	00:03:47	JUNY	大神隊長も見たかった	
138	00:03:49	なんたら	すごい	
139	00:03:53	パンセポンセ	あらかわいい	
140	00:04:01	motiyomogi	かわいい	
141	00:04:02	いぶきんぐ	エリカいいなぁ	
142	00:04:03	ミワタリ	すごい	
143	00:04:08	ジョナサン・グレーン	光武乗らないのかな	
144	00:04:13	東京コノハムシ	おはようおはようボンジュール！	
145	00:04:13	ジャック・オー	戦闘シーンは初代から３Ｄだけどね	
146	00:04:14	うぇいのる	かわいい	
147	00:04:17	じょーげん	大神隊長が一番人気だから…	
148	00:04:22	岸辺一徳	こ……紅蘭……	
149	00:04:28	ジョナサン・グレーン	おはよう大神さん ヘイ！	
150	00:05:13	いぶきんぐ	大神さん人気ありすぎる…	
151	00:05:13	カーマイン	えっちだ…	
152	00:05:18	じょーげん	かといって今の藤島が書いてもな…	
153	00:05:18	らうらう	しょうがないね・・・	
154	00:05:21	ジャック・オー	作品的に思い出補正が強すぎるよ…	
155	00:05:28	八木谷	しかたなし	
156	00:05:37	ミワタリ	かわいい	
157	00:05:37	ジョナサン・グレーン	思い出補正ってあるからね…	
158	00:05:52	桜田紅	いいよ	
159	00:06:00	らうらう	今日はおてての位置が高い	
160	00:06:07	JUNY	ずるずるとやっちゃうんだ…	
161	00:06:12	カギカギ	あれいいよね...	
162	00:06:20	ジャック・オー	いい…	
163	00:06:28	岸辺一徳	おおおおおお	
164	00:06:30	motiyomogi	おお	
165	00:06:31	hibisティオレー	きたああああああ	
166	00:06:32	なんたら	おお	
167	00:06:32	パンセポンセ	おおー	
168	00:06:32	ねこくーる	きた	
169	00:06:32	ジョナサン・グレーン	このイントロは！	
170	00:06:34	桜田紅	熱い	
171	00:06:35	ミワタリ	おお	
172	00:06:35	JUNY	ゲキテイや！	
173	00:06:35	らうらう	おー	
174	00:06:36	カーマイン	うおおおおお	
175	00:06:37	岸辺一徳	ゲキテイ！	
176	00:06:38	東京コノハムシ	ゲキテイ！	
177	00:06:47	T.のかね	うおおおおおおおおお	
178	00:06:48	タケノコ男	いいね	
179	00:06:50	パンセポンセ	歌まで！	
180	00:06:54	なんたら	ボーカル付きなんだ	
181	00:06:57	ジャック・オー	やっぱりゲキテイよね	
182	00:06:57	岸辺一徳	ちさタローじゃん！	
183	00:06:59	ジョナサン・グレーン	いいイントロじゃねえか！プリンセスコネクトのOPだろ！	
184	00:07:08	らうらう	しょうがないなあ・・・	
185	00:07:14	いぶきんぐ	キャラデザの松原さんの絵で見たいと言うのは感じるなぁ	
186	00:07:18	スモーク	プレイした時歌つきでビックリした	
187	00:07:19	カーマイン	声優もまんまやん！	
188	00:07:20	ジャック・オー	ニーアコラボでもボス曲エミールだったしね	
189	00:07:25	うぇいのる	かわいい	
190	00:07:26	なんたら	もっかい	
191	00:07:41	ジョナサン・グレーン	すごい	
192	00:07:41	東京コノハムシ	カンナおる？	
193	00:07:50	岸辺一徳	生々しい……	
194	00:08:08	いぶきんぐ	大御所だからね…	
195	00:08:18	岸辺一徳	おおおおお	
196	00:08:21	ジョナサン・グレーン	光武だ！	
197	00:08:21	T.のかね	すごい…	
198	00:08:23	パンセポンセ	すごい	
199	00:08:24	motiyomogi	すごい	
200	00:08:25	eve	すごい	
201	00:08:27	hibisティオレー	この叫び声がたまらない	
202	00:08:27	カーマイン	すごい	
203	00:08:27	カギカギ	すごい	
204	00:08:30	タケノコ男	すごい	
205	00:08:31	いぶきんぐ	すごい！光武だ！	
206	00:08:31	なんたら	力の入りよう	
207	00:08:39	ジョナサン・グレーン	後の二人も乗るの！？	
208	00:08:44	ジャック・オー	気合入ってるね	
209	00:08:51	東京コノハムシ	出来がいい	
210	00:08:58	らうらう	かわいい	
211	00:09:03	クラックリン	みたい	
212	00:09:05	カーマイン	かわいい	
213	00:09:05	タケノコ男	かわいい	
214	00:09:10	うぇいのる	かわいい	
215	00:09:11	いぶきんぐ	かなしい	
216	00:09:39	東京コノハムシ	かわいい	
217	00:09:51	いぶきんぐ	御旗もいい曲	
218	00:09:53	ジョナサン・グレーン	あの曲もいいよね	
219	00:09:56	JUNY	あらざんねん	
220	00:10:24	東京コノハムシ	カンナ…	
221	00:10:29	JUNY	原作通りだね	
222	00:10:33	いぶきんぐ	回復役だからね	
223	00:10:41	ジョナサン・グレーン	原作踏襲してるんだ	
224	00:10:58	らうらう	みえる	
225	00:10:59	うぇいのる	つよい	
226	00:11:02	らうらう	つよい	
227	00:11:02	カーマイン	みえるよ	
228	00:11:02	motiyomogi	つよい	
229	00:11:05	いぶきんぐ	つよい	
230	00:11:06	カギカギ	つよい	
231	00:11:06	T.のかね	つよい	
232	00:11:07	タケノコ男	つよい	
233	00:11:09	九代目中山稲五朗	つよい	
234	00:11:10	岸辺一徳	すごい	
235	00:11:12	カーマイン	つよい	
236	00:11:19	うぇいのる	かわいい	
237	00:11:24	カーマイン	おてて	
238	00:11:26	らうらう	おてて	
239	00:11:29	東京コノハムシ	歌詞つきあつい	
240	00:11:31	竹輪	かわいい	
241	00:11:32	motiyomogi	草	
242	00:11:32	らうらう	草	
243	00:11:33	いぶきんぐ	倒しちゃった	
244	00:11:35	スモーク	草	
245	00:11:35	カギカギ	草	
246	00:11:37	九代目中山稲五朗	草	
247	00:11:43	ジャック・オー	草	
248	00:11:54	ハインツ	バトルシミュレーターで打ちましょう	
249	00:12:11	カギカギ	その編成なら獄オートいけない？	
250	00:12:29	いぶきんぐ	ファン的にはさくら君って感じ	
251	00:12:36	K. u	20連だけど盾の子しか来なかった	
252	00:12:41	ジョナサン・グレーン	さくらさ〜ん！	
253	00:12:58	東京コノハムシ	体が勝手に	
254	00:13:14	いぶきんぐ	サビ待ち？	
255	00:13:19	こみこ	待機	
256	00:13:19	ジャック・オー	サビに合わせるんか	
257	00:13:22	らうらう	かわいい	
258	00:13:23	aarar scsrt	草	
259	00:13:27	岸辺一徳	いい……	
260	00:13:27	カギカギ	わかる	
261	00:13:28	motiyomogi	なるほどね	
262	00:13:30	T.のかね	いい…	
263	00:13:31	なんたら	わかる	
264	00:13:34	桜田紅	なるほどね	
265	00:13:34	Ami Saika	草	
266	00:13:34	東京コノハムシ	いい！！！	
267	00:13:35	いぶきんぐ	かっこいい	
268	00:13:38	カーマイン	すごい	
269	00:13:39	ミワタリ	いいね	
270	00:13:43	タケノコ男	かわいい	
271	00:13:47	東京コノハムシ	キメ！	
272	00:13:48	ねこくーる	かわいい	
273	00:13:49	ジョナサン・グレーン	あーそうだ5の光武飛ぶんだ	
274	00:13:49	クラックリン	かっこいい	
275	00:13:51	カーマイン	5のテーマ曲ってどんなんだっけ	
276	00:14:02	八木谷	ざんねん	
277	00:14:02	うぇいのる	くっ	
278	00:14:16	ジャック・オー	おうた	
279	00:14:17	じょーげん	それ	
280	00:14:17	らうらう	おうた	
281	00:14:19	タケノコ男	おうた	
282	00:14:20	八木谷	かわいい	
283	00:14:20	K. u	かわいい	
284	00:14:20	eve	outa	
285	00:14:20	T.のかね	おうた	
286	00:14:22	カギカギ	かわいい	
287	00:14:25	カーマイン	おうた	
288	00:14:27	いぶきんぐ	すき…	
289	00:14:29	こみこ	作画がやべーやつ	
290	00:14:38	ジョナサン・グレーン	5はジェミニのキャラソンが結構印象に残ってる	
291	00:14:57	岸辺一徳	アニメーション作成がプロダクションI.G.のOP	
292	00:15:03	motiyomogi	おぼえた	
293	00:15:04	T.のかね	草	
294	00:15:04	いぶきんぐ	OPだけで3億だっけ	
295	00:15:15	カーマイン	草	
296	00:15:16	ジョナサン・グレーン	草	
297	00:15:19	motiyomogi	草	
298	00:15:22	タケノコ男	草	
299	00:15:22	パンセポンセ	なるほど	
300	00:15:24	岸辺一徳	正しい	
301	00:15:24	八木谷	草	
302	00:15:24	うぇいのる	草	
303	00:15:24	スモーク	なるほど	
304	00:15:25	JUNY	資源の有効活用	
305	00:15:27	九代目中山稲五朗	似ている…そっくりだ	
