行番号	投稿時間	投稿者	メッセージ	スパチャ
127	00:04:12	スモーク	何で…	
128	00:04:12	カーマイン	草	
129	00:04:17	りあすて	何	
130	00:04:20	水澤悠仮面ライダーアマゾンオメガ	名前草	
131	00:04:21	いぶきんぐ	なぜヘモグロビン	
132	00:04:23	らうらう	そういう縛りあるの・・・	
133	00:04:23	ホワイトラン衛兵	☆	
134	00:04:24	motiyomogi	ヘモグロビン☆	
135	00:04:24	カーマイン	なんで…？	
136	00:04:24	mori mori	すごい強そうな赤血球だ	
137	00:04:26	にけい	あの！赤血球に含まれる！酸素を運ぶ！	
138	00:04:27	マルミー	草	
139	00:04:27	竹輪	たしかに…	
140	00:04:32	T.のかね	なるほどね	
141	00:04:33	りあすて	ヘモグ＝ロビン	
142	00:05:02	にけい	RPGあるある	
143	00:05:04	スモーク	配信でよくある	
144	00:05:05	水澤悠仮面ライダーアマゾンオメガ	ヘモ・グ・ロビンだろ(笑)	
145	00:05:17	motiyomogi	結構近いね	
146	00:05:20	リフェ	結構最近	
147	00:05:21	竹輪	へぇー	
148	00:05:21	mori mori	ほぼ直近で草	
149	00:05:36	マルピギア	これ初期版のディスクだと振興不能バグあるから注意してね	
150	00:05:38	motiyomogi	サギくん	
151	00:05:44	T.のかね	サギ	
152	00:05:46	竹輪	詐欺…	
153	00:05:46	究極ド根性ダイコン	詐欺くん…	
154	00:05:55	JUNY	サギくん…いじめららそう	
155	00:06:04	水澤悠仮面ライダーアマゾンオメガ	裏切りそうな名前(笑)	
156	00:06:04	りあすて	詐欺くん・・・いじめられそう・・・	
157	00:06:07	らうらう	草	
158	00:06:09	にけい	ほかに名前に使えそうな鳥はいっぱいいるだろ…	
159	00:06:09	近藤大輔	名前ｗ	
160	00:06:15	山田マシュー	名前で笑ってしまう	
161	00:06:28	スモーク	☆	
162	00:06:28	カーマイン	声誰だろ	
163	00:06:35	mori mori	サギくんよくこんなの相棒にしようと思ったな	
164	00:06:52	リフェ	UIも綺麗になってるね	
165	00:06:55	マルピギア	浪川さん	
166	00:06:59	竹輪	かっこいい	
167	00:07:21	mori mori	血中酸素濃度高そう	
168	00:07:35	水澤悠仮面ライダーアマゾンオメガ	ジョン・コナーの声なんだ😲	
169	00:07:38	JUNY	浪川さん声若い	
170	00:07:44	motiyomogi	ほえ～	
171	00:07:45	K IS	名作だ 懐かしい	
172	00:07:46	竹輪	共有なのか	
173	00:07:49	りあすて	結構下調べしてるんだ	
174	00:08:05	竹輪	たしかに	
175	00:08:10	リフェ	暗黒部隊…？	
176	00:08:11	スモーク	なるほど	
177	00:08:17	カーマイン	なるほどね	
178	00:08:27	近藤大輔	専用のは全くないの？	
179	00:08:29	りあすて	帰宅部のすごいやつみたいな	
180	00:08:37	JUNY	あのアザーを！？	
