行番号	投稿時間	投稿者	メッセージ	スパチャ
127	00:00:54	こみこ	可愛いムーブやめてください	
128	00:00:55	やみの子やみ鍋	おいしい煮玉子	
129	00:00:56	ライキ	こんにちはです～	
130	00:01:00	_ Die	JY	
131	00:01:00	ミワタリ	わかる	
132	00:01:01	aru ku	おいたま～	
133	00:01:03	霜月翔生希	なつかしい	
134	00:01:13	周恩来	JHじゃなくてJYだったのね	
135	00:01:16	イヌージョンCHANNEL	泣く	
136	00:01:19	なんたら	わかる	
137	00:01:20	ヌルヌペペ	懐かしすぎる	
138	00:01:21	霜月翔生希	いいよね…	
139	00:01:23	田中二郎	馬の骨の念仏さんおるw	
140	00:01:24	やみの子やみ鍋	なつかしい	
141	00:01:26	mimi mimi	こんなん絶対面白いやんけ・・・	
142	00:01:26	タケノコ男	かわいい	
143	00:01:27	ミワタリ	懐かしすぎて泣ける	
144	00:01:28	周恩来	なつかし	
145	00:01:31	Eトマト	これ見るとスマブラがどんだけ進化したのかが分かる	
146	00:01:37	あい	懐かしいなあ	
147	00:01:41	らうらう	カービィかわい	
148	00:01:42	なる	わくわくする	
149	00:01:45	もっぃ	おいしい煮玉子	
150	00:01:54	べるべる	おいしい煮玉子	
151	00:01:55	mk 95	おいしい煮玉子、懐かしいなー	
152	00:01:57	バリ島のサボテン	わくわく	
153	00:01:57	天然ステルス	おいしい煮玉子	
154	00:02:06	霜月翔生希	おいしい煮玉子	
155	00:02:09	Eトマト	サムスこの頃からいたのか！	
156	00:02:12	もっぃ	サムスに電撃当てると・・・？	
157	00:02:13	なんたら	刹那の見切り	
158	00:02:15	せせらぎ	サムスに電撃あびせるの好き	
159	00:02:18	ゼッケン	刹那の見切り	
160	00:02:19	らうらう	ウオオオオオオオオオオオオオオオオオオオオオ	
161	00:02:26	周恩来	ワァァァァァァ	
162	00:02:26	バリ島のサボテン	かわいい	
163	00:02:30	なる	こんなん神ゲーやん！	
164	00:02:30	天然ステルス	smack bro	
165	00:02:32	こみこ	すぐミソシタ化する	
166	00:02:39	馬の骨に念仏		￥100
167	00:02:40	霜月翔生希	小学生のころ遊んだわ	
168	00:02:43	タケノコ男	ミソシタ草	
169	00:02:49	Eトマト	カービィとマリオの下りって結構残ってるよね	
170	00:02:49	馬の骨に念仏		￥120
171	00:02:51	馬の骨に念仏		￥120
172	00:03:00	やみの子やみ鍋	バグ技とか色々やったなぁ	
173	00:03:00	耶律阿保機	クゥソゲーじゃないだと･･･？	
174	00:03:03	Eトマト	大量に送って来てて草	
175	00:03:04	周恩来	百万回聞いた音	
176	00:03:09	かたもく	美味しいSMASHBROTHERS	
177	00:03:13	馬の骨に念仏		￥120
178	00:03:16	九尾桐岬	美味しい煮玉子です	
179	00:03:17	aru ku	キャラが少ない 新鮮だなぁ	
180	00:03:20	あい	謎の分割草	
181	00:03:22	ポピーポピー	馬の耳さん昨日ピーナッツでみたぞｗ	
182	00:03:24	馬の骨に念仏		￥100
183	00:03:27	バーフ2世	連コインかな？	
184	00:03:28	ミワタリ	草	
185	00:03:28	こみこ	デブピカチュウすき	
186	00:03:29	たんこぶ	ドンキーコング連打しよう	
187	00:03:29	Eトマト	4スパチャは草	
188	00:03:30	天然ステルス	脱税する前のヨッシー	
189	00:03:30	もっぃ	ベリハいけるんか・・・？	
190	00:03:34	竹輪	草	
191	00:03:36	霜月翔生希	当時ネスを知らなかった	
192	00:03:39	らうらう	ベリハいけるの・・・	
193	00:03:39	ジュンペイ	ﾖｯｼｰﾖｯｼｰﾖｯｼｰ	
194	00:03:40	せせらぎ	すごいなぁ	
195	00:03:42	かたもく	くっっっそ懐かしいBGMだわ	
196	00:03:45	馬の骨に念仏	懐かしい～	
197	00:03:46	Ami Saika	わかる	
198	00:03:47	う	自販機だと思ってる	
199	00:03:47	mk 95	先にコンティニュー代投げてるのかな	
200	00:03:47	なんたら	わかる	
201	00:03:49	バリ島のサボテン	わかる	
202	00:03:49	周恩来	まだ耐久は始まったばかりだぜ！	
203	00:03:50	Eトマト	DXの進化は凄まじかった	
204	00:03:53	ジュンペイ	DXはその分コンパチ多かった気がする	
205	00:03:53	ミワタリ	懐かしいなぁ	
206	00:03:58	なる	枠みえないのすごいよかった	
207	00:03:59	ゼッケン	12月の最新スマブラ最初はこの初代メンツで始まるらしいすね	
208	00:04:00	イヌージョンCHANNEL	8キャラしか使えないんだなあ	
209	00:04:12	もっぃ	FEキャラ出たとき鼻血出た	
210	00:04:15	馬の骨に念仏	めっちゃキャラ増えそう	
211	00:04:16	mk 95	ファルコン・ランチ	
212	00:04:19	せせらぎ	ベリハードって最初から遊べるんだ	
213	00:04:19	Eトマト	これは今で言うオールスター？	
214	00:04:24	なんたら	ファルコン・ランチ	
215	00:04:24	もっぃ	チュッ	
216	00:04:24	霜月翔生希	醤油ソース！	
217	00:04:31	べるべる	これベリーイージーだとリンク動かないんだよな	
218	00:04:33	ジュンペイ	ファルコンランチ！	
219	00:04:39	フレイムリンクス	懐かしのハイラル城	
220	00:04:40	タケノコ男	カービィかわいい	
221	00:04:40	ゼッケン	Show me your foods!	
222	00:04:43	かたもく	カービィは強キャラよ	
223	00:04:44	佐藤太郎	そんな条件だったか。全然覚えてないな…	
224	00:04:49	周恩来	横Bなかったね	
225	00:04:51	こみこ	舐めプすぎる	
